Title,Link,has_ai_ml,ai_keywords_count,bio_keywords_count,organism_mice,organism_mouse,organism_rat,organism_human,organism_cell culture,organism_drosophila,organism_elegans,organism_plant
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,False,0,0,True,False,False,False,False,False,False,False
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,False,0,3,False,False,False,False,False,False,False,False
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,False,0,4,False,False,True,False,False,False,False,False
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,False,0,3,False,False,True,False,False,False,False,False
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,False,0,2,False,False,False,False,False,False,False,False
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,False,0,4,False,False,False,False,False,False,False,False
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,False,0,2,False,False,False,False,False,False,False,False
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,False,0,0,False,False,True,True,False,False,False,False
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,False,0,1,False,False,False,False,False,False,False,False
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,False,0,2,False,True,False,False,False,False,False,False
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,False,0,1,False,False,False,False,False,False,False,False
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,False,0,0,False,False,False,False,False,False,False,False
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,False,0,0,False,False,False,False,False,False,False,False
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,False,0,0,False,False,False,False,False,False,False,False
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,False,0,0,False,False,False,False,False,False,False,False
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,False,0,1,False,False,False,False,False,False,False,False
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,False,0,1,False,False,False,False,False,False,False,False
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,False,0,2,False,False,True,False,False,True,False,False
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,False,0,1,False,False,False,False,False,True,False,False
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,False,0,0,False,True,False,False,False,False,False,False
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,False,0,2,False,False,False,False,False,False,False,False
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,False,0,0,False,False,False,False,False,False,False,False
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,False,0,2,False,False,False,False,False,False,False,False
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,False,0,1,False,False,False,False,False,False,False,False
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,True,2,0,False,False,False,False,False,False,False,False
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,False,0,1,False,False,True,False,False,False,False,False
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,False,0,4,True,False,False,False,False,False,False,False
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,False,0,2,False,False,False,False,False,False,False,False
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,False,0,1,False,False,False,False,False,False,False,False
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,False,0,1,False,False,False,False,False,False,False,False
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,False,0,2,False,False,False,False,False,False,False,False
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,False,0,0,False,False,True,False,False,False,False,False
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,False,0,2,False,False,False,False,False,True,False,False
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,True,1,1,False,False,False,False,False,True,False,False
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,False,0,0,False,False,False,False,False,False,False,True
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,False,0,1,False,False,True,False,False,False,False,False
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,False,0,0,False,False,False,False,False,False,False,False
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,False,0,0,False,False,False,False,False,False,False,False
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,False,0,1,False,False,False,False,False,False,False,False
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,False,0,1,False,False,False,False,False,False,False,False
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,False,0,4,False,False,False,False,False,False,False,False
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,False,0,1,False,False,False,False,False,False,False,False
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,False,0,0,False,False,False,False,False,False,False,False
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,False,0,0,False,False,False,False,False,False,False,False
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,False,0,0,False,False,False,False,False,False,False,False
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,False,0,2,False,False,False,False,False,False,False,False
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,False,0,0,False,False,False,False,False,False,False,False
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,False,0,0,False,False,False,False,False,False,False,False
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,False,0,1,False,False,False,False,False,False,False,False
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,False,0,1,False,False,False,False,False,False,False,False
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,False,0,1,False,False,False,False,False,False,False,False
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,False,0,0,False,False,False,False,False,False,False,False
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,False,0,2,False,False,False,False,False,False,False,False
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,False,0,0,False,False,False,False,False,False,False,False
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,False,0,0,False,False,False,False,False,False,False,False
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,False,0,3,False,False,False,False,False,False,False,False
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,False,0,2,False,True,False,False,False,False,False,False
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,False,0,1,False,True,False,False,False,False,False,False
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,False,0,6,True,False,False,False,False,False,False,False
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,False,0,2,True,False,False,False,False,False,False,False
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,False,0,2,False,False,False,False,False,False,False,False
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,False,0,1,False,False,False,False,False,False,False,False
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,False,0,0,False,False,False,False,False,False,False,False
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,False,0,0,False,False,True,False,False,False,False,False
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,False,0,0,False,False,False,False,False,False,False,False
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,False,0,2,False,False,False,False,False,False,False,False
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,False,0,1,False,False,False,False,False,False,False,False
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,False,0,1,False,False,False,False,False,False,False,False
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,False,0,0,False,False,False,False,False,False,False,False
